Transcript PK, Syllable PK, Sequence PK
gɪtɑːrz, ɑːr, 4
gɪðeəri, gɪ, 1
gɪðeəri, ɪð, 2
gɪðeəri, ðeə, 3
gɪðeəri, eər, 4
gɪðeəri, ri, 5
gʌnʃɒt, gʌ, 1
gʌnʃɒt, ʌn, 2
gʌnʃɒt, ʃɒ, 3
gʌnʃɒt, ɒt, 4
gʌnʃɒts, gʌ, 1
gʌnʃɒts, ʌn, 2
gʌnʃɒts, ʃɒ, 3
gʌnʃɒts, ɒt, 4
gʌnʃɪp, gʌ, 1
gʌnʃɪp, ʌn, 2
gʌnʃɪp, ʃɪ, 3
gʌnʃɪp, ɪp, 4
haɪ_prəʊfaɪl, haɪ, 1
haɪ_prəʊfaɪl, rəʊ, 2
haɪ_prəʊfaɪl, əʊf, 3
haɪ_prəʊfaɪl, faɪ, 4
haɪ_prəʊfaɪl, aɪl, 5
haɪdʒækt, haɪ, 1
haɪdʒækt, aɪdʒ, 2
haɪdʒækt, dʒæ, 3
haɪdʒækt, æk, 4
haɪtnd, haɪ, 1
haɪtnd, aɪt, 2
hedbɔːd, he, 1
hedbɔːd, ed, 2
hedbɔːd, bɔː, 3
hedbɔːd, ɔːd, 4
hedlaɪnər, he, 1
hedlaɪnər, ed, 2
hedlaɪnər, laɪ, 3
hedlaɪnər, aɪn, 4
hedlaɪnər, nə, 5
hedlaɪnər, ər, 6
hedlɒk, he, 1
hedlɒk, ed, 2
hedlɒk, lɒ, 3
hedlɒk, ɒk, 4
hekld, he, 1
hekld, ek, 2
hel_bent, he, 1
hel_bent, el, 2
hel_bent, be, 3
hel_bent, en, 4
helpləsiz, he, 1
helpləsiz, el, 2
helpləsiz, lə, 3
helpləsiz, əs, 4
helpləsiz, si, 5
helpləsiz, iz, 6
heəstaɪlz, heə, 1
heəstaɪlz, eəs, 2
heəstaɪlz, taɪ, 3
heəstaɪlz, aɪl, 4
heɪnəsiz, heɪ, 1
heɪnəsiz, eɪn, 2
heɪnəsiz, nə, 3
heɪnəsiz, əs, 4
heɪnəsiz, si, 5
heɪnəsiz, iz, 6
hiːl, hiː, 1
hiːl, iːl, 2
hjuːdʒli, juː, 1
hjuːdʒli, uːdʒ, 2
hjuːdʒli, li, 3
hjuːmeɪnli, juː, 1
hjuːmeɪnli, uːm, 2
hjuːmeɪnli, meɪ, 3
hjuːmeɪnli, eɪn, 4
hjuːmeɪnli, li, 5
hjuːmərɪst, juː, 1
hjuːmərɪst, uːm, 2
hjuːmərɪst, mə, 3
hjuːmərɪst, ər, 4
hjuːmərɪst, rɪ, 5
hjuːmərɪst, ɪs, 6
huːv, huː, 1
huːv, uːv, 2
hælbɜːd, hæ, 1
hælbɜːd, æl, 2
hælbɜːd, bɜː, 3
hælbɜːd, ɜːd, 4
hændgʌn, hæ, 1
hændgʌn, æn, 2
hændgʌn, gʌ, 3
hændgʌn, ʌn, 4
hændheld, hæ, 1
hændheld, æn, 2
hændheld, he, 3
hændheld, el, 4
hændkrɑːftɪd, hæ, 1
hændkrɑːftɪd, æn, 2
hændkrɑːftɪd, rɑː, 3
hændkrɑːftɪd, ɑːf, 4
hændkrɑːftɪd, tɪ, 5
hændkrɑːftɪd, ɪd, 6
hændkʌfs, hæ, 1
hændkʌfs, æn, 2
hændkʌfs, kʌ, 3
hændkʌfs, ʌf, 4
hændz_ɒn, hæ, 1
hændz_ɒn, æn, 2
hændz_ɒn, ɒn, 3
hærəst, hæ, 1
hærəst, ær, 2
hærəst, rə, 3
hærəst, əs, 4
hæŋ_aʊt, hæ, 1
hæŋ_aʊt, æŋ, 2
hæŋ_aʊt, aʊt, 3
hɑːf_deɪ, hɑː, 1
hɑːf_deɪ, ɑːf, 2
hɑːf_deɪ, deɪ, 3
hɑːtfelt, hɑː, 1
hɑːtfelt, ɑːt, 2
hɑːtfelt, fe, 3
hɑːtfelt, el, 4
hɒləgræm, hɒ, 1
hɒləgræm, ɒl, 2
hɒləgræm, lə, 3
hɒləgræm, əg, 4
hɒləgræm, ræ, 5
hɒləgræm, æm, 6
hɒləgræmz, hɒ, 1
hɒləgræmz, ɒl, 2
hɒləgræmz, lə, 3
hɒləgræmz, əg, 4
hɒləgræmz, ræ, 5
hɒləgræmz, æm, 6
hɒmɪdʒiz, hɒ, 1
hɒmɪdʒiz, ɒm, 2
hɒmɪdʒiz, mɪ, 3
hɒmɪdʒiz, ɪdʒ, 4
hɒmɪdʒiz, dʒi, 5
hɒmɪdʒiz, iz, 6
hɒspɪtəlaɪzd, hɒ, 1
hɒspɪtəlaɪzd, ɒs, 2
hɒspɪtəlaɪzd, pɪ, 3
hɒspɪtəlaɪzd, ɪt, 4
hɒspɪtəlaɪzd, tə, 5
hɒspɪtəlaɪzd, əl, 6
hɒspɪtəlaɪzd, laɪ, 7
hɒspɪtəlaɪzd, aɪz, 8
hɒt_eə_bəluːn, hɒ, 1
hɒt_eə_bəluːn, ɒt, 2
hɒt_eə_bəluːn, bə, 3
hɒt_eə_bəluːn, əl, 4
hɒt_eə_bəluːn, luː, 5
hɒt_eə_bəluːn, uːn, 6
hɒtspɒt, hɒ, 1
hɒtspɒt, ɒt, 2
hɒtspɒt, pɒ, 3
hɒtspɒt, ɒt, 4
hɔːkɪʃ, hɔː, 1
hɔːkɪʃ, ɔːk, 2
hɔːkɪʃ, kɪ, 3
hɔːkɪʃ, ɪʃ, 4
hərɪfɪk, hə, 1
hərɪfɪk, ər, 2
hərɪfɪk, rɪ, 3
hərɪfɪk, ɪf, 4
hərɪfɪk, fɪ, 5
hərɪfɪk, ɪk, 6
həʊldəʊvər, həʊ, 1
həʊldəʊvər, əʊl, 2
həʊldəʊvər, dəʊ, 3
həʊldəʊvər, əʊv, 4
həʊldəʊvər, və, 5
həʊldəʊvər, ər, 6
həʊlstər, həʊ, 1
həʊlstər, əʊl, 2
həʊlstər, tə, 3
həʊlstər, ər, 4
həʊmweər, həʊ, 1
həʊmweər, əʊm, 2
həʊmweər, weə, 3
həʊmweər, eər, 4
hɜːtfl, hɜː, 1
hɜːtfl, ɜːt, 2
hɪpiz, hɪ, 1
hɪpiz, ɪp, 2
hɪpiz, pi, 3
hɪpiz, iz, 4
hʊd, hʊ, 1
hʊd, ʊd, 2
hʌgz, hʌ, 1
hʌgz, ʌg, 2
hʌsl, hʌ, 1
hʌsl, ʌs, 2
jeləʊz, je, 1
jeləʊz, el, 2
jeləʊz, ləʊ, 3
jeləʊz, əʊz, 4
jelɪŋ, je, 1
jelɪŋ, el, 2
jelɪŋ, lɪ, 3
jelɪŋ, ɪŋ, 4
jiːst, jiː, 1
jiːst, iːs, 2
juː, juː, 1
juːnɪlætrəli, juː, 1
juːnɪlætrəli, uːn, 2
juːnɪlætrəli, nɪ, 3
juːnɪlætrəli, ɪl, 4
juːnɪlætrəli, læ, 5
juːnɪlætrəli, æt, 6
juːnɪlætrəli, rə, 7
juːnɪlætrəli, əl, 8
juːnɪlætrəli, li, 9
juːnɪvɜːsæləti, juː, 1
juːnɪvɜːsæləti, uːn, 2
juːnɪvɜːsæləti, nɪ, 3
juːnɪvɜːsæləti, ɪv, 4
juːnɪvɜːsæləti, vɜː, 5
juːnɪvɜːsæləti, ɜːs, 6
juːnɪvɜːsæləti, sæ, 7
juːnɪvɜːsæləti, æl, 8
juːnɪvɜːsæləti, lə, 9
juːnɪvɜːsæləti, ət, 10
juːnɪvɜːsæləti, ti, 11
juːtəlaɪzɪz, juː, 1
juːtəlaɪzɪz, uːt, 2
juːtəlaɪzɪz, tə, 3
juːtəlaɪzɪz, əl, 4
juːtəlaɪzɪz, laɪ, 5
juːtəlaɪzɪz, aɪz, 6
juːtəlaɪzɪz, zɪ, 7
jʌmi, jʌ, 1
jʌmi, ʌm, 2
jʌmi, mi, 3
kaɪtsɜːfɪŋ, kaɪ, 1
kaɪtsɜːfɪŋ, aɪt, 2
kaɪtsɜːfɪŋ, sɜː, 3
kaɪtsɜːfɪŋ, ɜːf, 4
kaɪtsɜːfɪŋ, fɪ, 5
kaɪtsɜːfɪŋ, ɪŋ, 6
kiːbɔːd, kiː, 1
kiːbɔːd, iːb, 2
kiːbɔːd, bɔː, 3
kiːbɔːd, ɔːd, 4
kwɒf, wɒ, 1
kwɒf, ɒf, 2
kwɔːtəbæks, wɔː, 1
kwɔːtəbæks, ɔːt, 2
kwɔːtəbæks, tə, 3
kwɔːtəbæks, əb, 4
kwɔːtəbæks, bæ, 5
kwɔːtəbæks, æk, 6
kəlaɪdəskəʊp, əl, 1
kəlaɪdəskəʊp, laɪ, 2
kəlaɪdəskəʊp, aɪd, 3
kəlaɪdəskəʊp, də, 4
kəlaɪdəskəʊp, əs, 5
kəlaɪdəskəʊp, kəʊ, 6
kəlaɪdəskəʊp, əʊp, 7
kɪtʃ, kɪ, 1
kɪtʃ, ɪtʃ, 2
laɪflaɪk, laɪ, 1
laɪflaɪk, aɪf, 2
laɪflaɪk, laɪ, 3
laɪflaɪk, aɪk, 4
laɪkənz, laɪ, 1
laɪkənz, aɪk, 2
laɪkənz, kə, 3
laɪkənz, ən, 4
laɪm, laɪ, 1
laɪm, aɪm, 2
laɪmstəʊn, laɪ, 1
laɪmstəʊn, aɪm, 2
laɪmstəʊn, təʊ, 3
laɪmstəʊn, əʊn, 4
laɪvstɒk, laɪ, 1
laɪvstɒk, aɪv, 2
laɪvstɒk, tɒ, 3
laɪvstɒk, ɒk, 4
laɪənes, laɪ, 1
laɪənes, ɪən, 2
laɪənes, ne, 3
laɪənes, es, 4
leɪ_ɒf, leɪ, 1
leɪ_ɒf, ɒf, 2
leɪaʊt, leɪ, 1
leɪaʊt, aʊt, 2
leɪklənd_teriərz, leɪ, 1
leɪklənd_teriərz, eɪk, 2
leɪklənd_teriərz, lə, 3
leɪklənd_teriərz, ən, 4
leɪklənd_teriərz, te, 5
leɪklənd_teriərz, er, 6
leɪklənd_teriərz, ri, 7
leɪklənd_teriərz, ər, 8
leɪt_naɪt, leɪ, 1
leɪt_naɪt, eɪt, 2
leɪt_naɪt, naɪ, 3
leɪt_naɪt, aɪt, 4
liːfi, liː, 1
liːfi, iːf, 2
liːfi, fi, 3
liːgəlaɪzd, liː, 1
liːgəlaɪzd, iːg, 2
liːgəlaɪzd, gə, 3
liːgəlaɪzd, əl, 4
liːgəlaɪzd, laɪ, 5
liːgəlaɪzd, aɪz, 6
luːkiːmiə, luː, 1
luːkiːmiə, uːk, 2
luːkiːmiə, kiː, 3
luːkiːmiə, iːm, 4
luːkiːmiə, mi, 5
læbərɪnθ, læ, 1
læbərɪnθ, æb, 2
læbərɪnθ, bə, 3
læbərɪnθ, ər, 4
læbərɪnθ, rɪ, 5
læbərɪnθ, ɪn, 6
læmps, læ, 1
læmps, æm, 2
læptɒps, læ, 1
læptɒps, æp, 2
læptɒps, tɒ, 3
læptɒps, ɒp, 4
lævɪʃ, læ, 1
lævɪʃ, æv, 2
lævɪʃ, vɪ, 3
lævɪʃ, ɪʃ, 4
lɑːns, lɑː, 1
lɑːns, ɑːn, 2
lɒkdaʊn, lɒ, 1
lɒkdaʊn, ɒk, 2
lɒkdaʊn, daʊ, 3
lɒkdaʊn, aʊn, 4
lɒpsaɪdɪd, lɒ, 1
lɒpsaɪdɪd, ɒp, 2
lɒpsaɪdɪd, saɪ, 3
lɒpsaɪdɪd, aɪd, 4
lɒpsaɪdɪd, dɪ, 5
lɒtə, lɒ, 1
lɒtə, ɒt, 2
lɒtə, tə, 3
lɒŋhaʊs, lɒ, 1
lɒŋhaʊs, ɒŋ, 2
lɒŋhaʊs, haʊ, 3
lɒŋhaʊs, aʊs, 4
lɔɪərz, lɔɪ, 1
lɔɪərz, ɪər, 2
lɔː_əbaɪdɪŋ, lɔː, 1
lɔː_əbaɪdɪŋ, əb, 2
lɔː_əbaɪdɪŋ, baɪ, 3
lɔː_əbaɪdɪŋ, aɪd, 4
lɔː_əbaɪdɪŋ, dɪ, 5
lɔː_əbaɪdɪŋ, ɪŋ, 6
lɔːndərɪŋ, lɔː, 1
lɔːndərɪŋ, ɔːn, 2
lɔːndərɪŋ, də, 3
lɔːndərɪŋ, ər, 4
lɔːndərɪŋ, rɪ, 5
lɔːndərɪŋ, ɪŋ, 6
ləʊ_kiː, ləʊ, 1
ləʊ_kiː, kiː, 2
ləʊdstəʊn, ləʊ, 1
ləʊdstəʊn, əʊd, 2
ləʊdstəʊn, təʊ, 3
ləʊdstəʊn, əʊn, 4
lɜːnz, lɜː, 1
lɜːnz, ɜːn, 2
lɜːnɪŋz, lɜː, 1
lɜːnɪŋz, ɜːn, 2
lɜːnɪŋz, nɪ, 3
lɜːnɪŋz, ɪŋ, 4
lɪbərəli, lɪ, 1
lɪbərəli, ɪb, 2
lɪbərəli, bə, 3
lɪbərəli, ər, 4
lɪbərəli, rə, 5
lɪbərəli, əl, 6
