a,eɪ
ADJUST,əˈdʒʌst
adjusted,əˈdʒʌstɪdədʒʌstɪd
ADJUSTMENT,əˈdʒʌs(t)mənt
ADMINISTER,ədˈmɪnɪstə(r)
ADMINISTRATION,ədˌmɪnɪˈstreɪʃ(ə)n
administrative,ædmɪnɪstrətɪv
ADMINISTRATOR,ədˈmɪnɪˌstreɪtə(r)
admirer,ədmaɪərə(r)
admission,ædmɪʃən
ADMIT,ədˈmɪt
admitted,əd'mɪtɪd
ADOPT,əˈdɒpt
ADOPTED,əˈdɒptɪd
ADULT,ˈædʌlt
ADULTERER,əˈdʌltərə(r)
ADVANCE,ədˈvɑːns
ADVANCED,ədˈvɑːnst
advances,ədˈvɑːnsɪz
ADVANCING,ədˈvɑːnsɪŋ
ADVANTAGE,ədˈvɑːntɪdʒ
adventurous,ædventʃərəs
adverse,ædvɜː(r)s
ADVERSITY,ədˈvɜː(r)səti
advice,ædvaɪs
ADVISE,ədˈvaɪz
advised,ədˈvaɪzd
ADVISER,ədˈvaɪzə(r)
ADVISOR,ədˈvaɪzə(r)
advisory,ædvaɪzəri
ADVOCATE,ˈædvəkeɪt
aeroplane,eərəpleɪn
aerospace,eəroʊspeɪs
afar,əfɑː(r)
affair,əfeə(r)
AFFECT,əˈfekt
AFFECTED,əˈfektɪd
AFFECTING,əˈfektɪŋ
affection,əfekʃən
AFFILIATE,əˈfɪlieɪt
affiliation,əfɪlieɪʃən
AFFIRM,əˈfɜː(r)m
affirmation,ˌæfəˈmeɪʃən
AFFIX,əˈfɪks
AFFORD,əˈfɔː(r)d
affordable,əfɔː(r)dəbəl
aflame,əfleɪm
afloat,əfloʊt
aforementioned,əfɔː(r)menʃənd
afraid,əfreɪd
african,æfrɪkən
AFTER,ˈɑːftə(r)
aftermath,ɑːftə(r)mɑːθ
afternoon,ɑːftə(r)nuːn
AFTERSHOCK,ˈɑːftə(r)ˌʃɒk
afterward,æftərwərd
again,ə'gen
against,ə'genst
AGE,eɪdʒ
AGED,eɪdʒd
AGEING,ˈeɪdʒɪŋ
AGENCY,ˈeɪdʒ(ə)nsi
AGENDA,əˈdʒendə
agent,eɪdʒənt
AGGRAVATED,ˈæɡrəˌveɪtɪd
AGGREGATE,ˈæɡrɪɡət
aggressive,əgresɪv
agile,ædʒaɪl
AGING,ˈeɪdʒɪŋ
Agnes,ægnɪs
Agness,@Agness
agnostic,ægnɒstɪk
ago,əgoʊ
AGREE,əˈɡriː
AGREED,əˈɡriːd
AGREEMENT,əˈɡriːmənt
agricultural,ægrɪkʌltʃərəl
agriculture,ægrɪkʌltʃə(r)
ah,ɑː
ahead,əhed
ai,eɪaɪ
AID,eɪd
AIDE,eɪd
AIDS,eɪdz
AIL,eɪl
AILING,ˈeɪlɪŋ
AIM,eɪm
air,eə
AIRBAG,eə(r)bæg
airbus,eə(r)bʌs
AIRCRAFT,ˈeə(r)ˌkrɑːft
AIRE,@AIRE
airless,eə(r)ləs
AIRLINE,ˈeə(r)ˌlaɪn
AIRPLANE,ˈeə(r)ˌpleɪn
airport,eə(r)pɔːʳt
AIRWAVES,ˈeə(r)ˌweɪvz
AIRWAY,ˈeə(r)weɪ
akin,əkɪn
alan,ˈælənˈælən
ALARM,əˈlɑː(r)m
alarmed,əlɑː(r)md
alarmist,əlɑː(r)mɪst
albeit,ɔːlbiːɪt
album,ælbəm
alembic,əˈlɛmbɪk
ALERT,əˈlɜː(r)t
alexander,ˌælɪɡˈzɑːndə
alexandra,ˌælɪɡˈzɑːndrə
alexis,əˈlɛksɪs
alfa,ˈælfə
ALGORITHM,ˈælɡəˌrɪð(ə)m
ali,ˈɑːliː
alia,eɪliə
ALIGN,əˈlaɪn
alike,əlaɪk
alive,ə'laɪv
all,ɔ:l
alle,@alle
ALLEGATION,ˌæləˈɡeɪʃ(ə)n
ALLEGE,əˈledʒ
ALLEGED,əˈledʒd
allegedly,əˈlɛdʒɪdlɪ
allen,ˈælən
ALLERGY,ˈælə(r)dʒi
alleviate,əliːvieɪt
ALLIANCE,əˈlaɪəns
ALLIED,ˈælaɪd
allies,ˈælaɪz
all-night,ˌɔːlˈnaɪt
ALLOCATE,ˈæləkeɪt
ALLOCATION,ˌæləˈkeɪʃ(ə)n
ALLOTMENT,əˈlɒtmənt
ALLOW,əˈlaʊ
allowance,əlaʊəns
alloway,ˈæləˌweɪ
all-time,ˈɔlˌtaɪm
allure,əljʊə(r)
ALLY,ˈælaɪ
almost,ɔ:lməʊst
alone,əloʊn
Along,ə'lɒŋ
alongside,əlɒŋsaɪd
aloud,ə'laʊd
alpha,ˈælfə
alphabet,ælfəbet
alpine,ælpaɪn
already,ɔ:l'redɪ
also,ɔ:lsəʊ
ALTERNATIVE,ɔːlˈtɜː(r)nətɪv
although,ɔːlðoʊ
alto,æltoʊ
altruistic,æltruɪstɪk
aluminum,əluːmɪnəm
ALUMNA,əˈlʌmnə
alumnae,əˈlʌmniː
always,ɔːlweɪz
AM,@ˌeɪ ˈem
AMALGAMATE,əˈmælɡəmeɪt
AMATEUR,ˈæmətə(r)
AMAZED,əˈmeɪzd
AMAZING,əˈmeɪzɪŋ
amazon,æməzən
ambassador,æmbæsədə(r)
AMBITION,æmˈbɪʃ(ə)n
ambitious,æmbɪʃəs
amend,əmend
AMENDMENT,əˈmen(d)mənt
amenities,əˈmiːnɪtɪzəmɛnɪtizəˈmiːnɪtɪz
AMENITY,əˈmiːnəti
AMERICA,@ə'merɪkə
AMERICAN,əˈmerɪkən
americas,əmɛrɪkəz
amex,ˈæmɛks
amherst,ˈæmhɜːst
amid,əmɪd
amin,æˈmiːn
amiss,əmɪs
ammunition,æmjʊnɪʃən
among,əmʌŋ
amongst,əmʌŋst
AMOUNT,əˈmaʊnt
ample,æmpəl
AMPLIFY,ˈæmplɪˌfaɪ
amputate,æmpjʊteɪt
amy,ˈeɪmi
an,æn
ana,ˈeɪnə
analog,ænəlɔg
analysis,ənælɪsɪs
ANALYST,ˈænəlɪst
analytics,ˌænəˈlɪtɪks
ANALYZE,ˈænəlaɪz
ananda,əˈnændə
ANCHOR,ˈæŋkə(r)
ancient,eɪnʃənt
and,ænd
andean,ænˈdiːən
andersen,ˈændəsən
anderson,ˈændəsən
andes,ˈændiːz
andré,ˈɑːndreɪ
andrea,ɑnˈdreɪə
android,ændrɔɪd
angel,eɪndʒəl
Angels,eɪndʒəlz
ANGER,ˈæŋɡə(r)
angola,æŋˈɡəʊlə
angry,æŋgri
angst,æŋst
anhui,ˈænˈweɪ
ANIMAL,ˈænɪm(ə)l
animosity,ænɪmɒsɪti
anita,əˈnitə
ann,ænæn
ANNEX,əˈneks
annie oakley,ˌæni
annihilate,ənaɪɪleɪt
anniversary,ænɪvɜː(r)səri
ANNOUNCE,əˈnaʊns
ANNOUNCEMENT,əˈnaʊnsmənt
annoyance,ənɔɪəns
ANNOYING,əˈnɔɪɪŋ
annual,ænjuəl
ANNUITY,əˈnjuːəti
anoint,ənɔɪnt
ANON,əˈnɒn
anonymity,ˌænəˈnɪməti
anonymous,ənɒnɪməs
another,ə'nʌðə
ansaphone,@ansaphone
ANSWER,ˈɑːnsə(r)
ant,ænt
antarctic,æntɑː(r)ktɪk
anteroom,æntiruːm
anthem,ænθəm
anthony,ˈæntənɪ
ANTIBIOTIC,ˌæntibaɪˈɒtɪk
ANTICIPATE,ænˈtɪsɪpeɪt
anticipated,æntɪsɪpeɪtɪd
anticipation,æntɪsɪpeɪʃən
antifungal,ˌæntɪˈfʌŋɡəl
ANTIQUATED,ˈæntɪˌkweɪtɪd
ANTIQUE,ænˈtiːk
antiques,ænˈtiːks
antitrust,æntitrʌst
anxiety,æŋzaɪɪti
any,enɪ
anymore,enimɔː(r)
anyone,eniwʌn
anything,enɪθɪŋ
anyway,eniweɪ
anywhere,enihweə(r)
apace,əpeɪs
apart,əpɑː(r)t
APARTMENT,əˈpɑː(r)tmənt
apartments,əˈpɑːtmənts
apollo,əˈpɒləʊ
apologetic,əpɒlədʒetɪk
apologise,əpɒlədʒaɪz
app,æpæp
apparent,əpærənt
apparently,əpærəntli
appeal,əpiːl
APPEALING,əˈpiːlɪŋ
APPEAR,əˈpɪə(r)
appearance,əpɪərəns
appease,əpiːz
APPETITE,ˈæpətaɪt
APPLE,ˈæp(ə)l
apples,ˈæpəlz
APPLIANCE,əˈplaɪəns
APPLICATION,ˌæplɪˈkeɪʃ(ə)n
APPLIED,əˈplaɪd
APPLY,əˈplaɪ
APPOINT,əˈpɔɪnt
APPOINTED,əˈpɔɪntɪd
APPOINTEE,əˌpɔɪnˈtiː
appointment,əpɔɪntmənt
appreciable,əpriːʃəbəl
APPRECIATE,əˈpriːʃiˌeɪt
appreciation,əpriːʃieɪʃən
appreciative,əpriːʃətɪv
apprehensive,æprɪhensɪv
APPROACH,əˈprəʊtʃ
approaching,əˈprəʊtʃɪŋ
appropriate,əproʊpriət
APPROPRIATION,əˌprəʊpriˈeɪʃ(ə)n
APPROVAL,əˈpruːv(ə)l
approve,əpruːv
APPROVED,əˈpruːvd
APPROVING,əˈpruːvɪŋ
approximately,əˈprɒksɪmɪtlɪ
april,eɪprɪl
apron,eɪprən
arab,ærəb
arabia,əˈreɪbɪə
Aragorn,@Aragorn
arbitrage,ɑː(r)bɪtrɑːʒ
arc,ɑː(r)k
arch,ɑ:tʃ
ARCHITECT,ˈɑː(r)kɪˌtekt
archway,ɑː(r)tʃweɪ
ARE,ɑː®
AREA,ˈeəriə
Arelish,@Arelish
Arelon,@Arelon
arena,əriːnə
arent,ɑ: rnt
argentina,ˌɑːdʒənˈtiːnə
argentine,ɑː(r)dʒəntaɪn
ARGUE,ˈɑː(r)ɡju
ARGUMENT,ˈɑː(r)ɡjʊmənt
ARISE,əˈraɪz
aristides,ˌærɪˈstaɪdiːz
arithmetic,ərɪθmɪtɪk
arizona,ˌærɪˈzəʊnə
arm,ɑ:m
armchair,ɑː(r)mtʃeəʳ
ARMS,ɑː(r)mz
army,ɑː(r)mi
AROSE,əˈrəʊz
around,ə'raʊnd
ARRANGE,əˈreɪndʒ
arranged,əreɪndʒd
ARRANGEMENT,əˈreɪndʒmənt
arrangements,əˈreɪndʒmənts
ARRANGER,əreɪndʒə®
array,əreɪ
ARREST,əˈrest
ARRESTING,əˈrestɪŋ
arrival,əraɪvəl
ARRIVE,əˈraɪv
arrived,ə'raɪvd
arrow,æroʊ
arroyo,ərɔɪoʊ
ARSENAL,ˈɑː(r)s(ə)n(ə)l
ART,ɑː(r)t
artemis,ˈɑːtɪmɪs
arthritis,ɑː(r)θraɪtɪs
arthur,ˈɑːθə
ARTICLE,ˈɑː(r)tɪk(ə)l
articles,ˈɑːtɪkəlz
artificial,ɑː(r)tɪfɪʃəl
artillery,ɑː(r)tɪləri
ARTIST,ˈɑː(r)tɪst
ARTWORK,ˈɑː(r)tˌwɜː(r)k
aruba,əˈruːbə
AS,æz
ascent,əsent
ash,æʃ
ashcroft,ˈæʃkrɒft
Ashe,@Ashe
ashkenazy,ˌæʃkəˈnɑːzɪ
ashley,ˈæʃlɪ
ashton,ˈæʃtən
asian,eɪʒən
aside,əsaɪd
ASK,ɑːsk
asked,ɑ:skt
ASPECT,ˈæspekt
ASPIRATION,ˌæspɪˈreɪʃ(ə)n
ASSEMBLE,əˈsemb(ə)l
assembly,əsembli
assertion,əˈsɜːʃən
assertive,əsɜː(r)tɪv
ASSESS,əˈses
ASSESSMENT,əˈsesmənt
ASSESSOR,əˈsesə(r)
ASSET,ˈæset
assets,ˈæsɛts
assiduous,əsɪdʒuəs
ASSIGNMENT,əˈsaɪnmənt
assimilation,əˌsɪməˈleɪʃən
ASSIST,əˈsɪst
assistance,əsɪstəns
ASSISTANT,əˈsɪst(ə)nt
assistants,ə'sɪstəntz
ASSOCIATE,əˈsəʊsiˌeɪt
associated,əsoʊsieɪtɪd
assuage,əsweɪdʒ
ASSUME,əˈsjuːm
assumed,əˈsjuːmd
ASSUMING,əˈsjuːmɪŋ
ASSUMPTION,əˈsʌmpʃ(ə)n
ASSURANCE,əˈʃɔːrəns
ASSURE,əˈʃɔː(r)
ASSURED,əˈʃɔː(r)d
astbury,ˈæstbərɪ
ASTONISHED,əˈstɒnɪʃt
astonishment,əstɒnɪʃmənt
asunder,əsʌndə(r)
asylum,əsaɪləm
at,æt
ATE,et
athena,əˈθiːnə
ATHLETE,ˈæθliːt
atlantic,ətˈlæntɪk
atomic,ətɒmɪk
atop,ətɒp
ATTACHED,əˈtætʃt
attachment,ətætʃmənt
ATTACK,əˈtæk
ATTACKER,əˈtækə(r)
ATTEMPT,əˈtempt
ATTEMPTED,əˈtemptɪd
ATTEND,əˈtend
attendant,ətendənt
attendee,ətendiː
attention,ə'tenʃən
attica,ˈætɪkə
ATTITUDE,ˈætɪˌtjuːd
ATTORNEY,əˈtɜː(r)ni
ATTRACT,əˈtrækt
attracted,əˈtræktɪd
attractive,ətræktɪv
ATTRIBUTE,əˈtrɪbjuːt
auckland,ˈɔːklənd
AUCTION,ˈɔːkʃ(ə)n
audacity,ɔːdæsɪti
audible,ɔːdɪbəl
audience,ɔːdiəns
AUDIT,ˈɔːdɪt
auditing,ˈɔːdɪtɪŋ
AUDITOR,ˈɔːdɪtə(r)
auditorium,ɔːdɪtɔːriəm
auerbach,ˈaʊəˌbɑːk
AUSPICES,ˈɔːspɪsɪz
aussie,ɒzi
austerity,ɔːsterɪti
australia,ɒˈstreɪlɪə
australian,ɒstreɪliən
austria,ˈɒstrɪə
austrian,ɒstriən
AUTHOR,ˈɔːθə(r)
authoritative,ɔːθɒrɪtətɪv
authorities,ɔ:'θɒrətɪz
AUTHORITY,ɔːˈθɒrəti
AUTHORIZE,ˈɔːθəraɪz
authorized,ˈɔːθəˌraɪzdˈɔθərˌaɪzd
AUTOMAKER,ˈɔːtəʊˌmeɪkə(r)
AUTOMATED,ˈɔːtəˌmeɪtɪd
automatic,ɔːtəmætɪk
AUTOMOBILE,ˈɔːtəməˌbiːl
automotive,ɔːtəmoʊtɪv
autonomous,ɔːtɒnəməs
autopilot,ɔːtoʊpaɪlət
autumn,ɔːtəm
availability,əˌveɪləˈbɪləti
available,əveɪləbəl
AVENUE,ˈævəˌnjuː
AVERAGE,ˈæv(ə)rɪdʒ
aversion,əvɜː(r)ʃən
avert,əvɜː(r)t
aviate,ˈeɪvɪˌeɪt
aviation,eɪvieɪʃən
AVOID,əˈvɔɪd
avoidable,əvɔɪdəbəl
AWAIT,əˈweɪt
awaiting,əˈweɪtɪŋ
awake,əweɪk
AWARD,əˈwɔː(r)d
aware,əweə(r)
away,ə'weɪ
awkward,ɔːkwə(r)d
awoke,əwoʊk
axis,æksɪs
azerbaijan,ˌæzəbaɪˈdʒɑːn
azeri,əˈzɛərɪ
BABY,ˈbeɪbi
bachelor,bætʃələ(r)
BACK,bæk
back up,bæk
backbone,bækboʊn
backdrop,bækdrɒp
BACKED,bækt
BACKER,ˈbækə(r)
background,bækgraʊnd
BACKING,ˈbækɪŋ
backlash,bæklæʃ
backs,bæks
backstage,bæksteɪdʒ
BACKTRACK,ˈbækˌtræk
backward,bækwə(r)d
backwards,bækwə(r)dz
bad,bæd
badly,bædli
bag,bæg
baht,bɑːt
bail,beɪl
bailey,ˈbeɪlɪ
BAILOUT,ˈbeɪlaʊt
bain-marie,bɛ̃mari
baird,bɛəd
BALANCE,ˈbæləns
BALANCED,ˈbælənst
balancing,ˈbælənsɪŋ
bald,bɔːld
BALE,beɪl
balfour,ˈbælfɔː
ball,bɔ:l
BALLOON,bəˈluːn
BALLOONING,bəˈluːnɪŋ
ballot,bælət
BALLS,bɔːlz
bally,ˈbælɪ
balm,bɑːm
baltic,ˈbɔːltɪk
BAN,bæn
BAND,bænd
BANDAGE,ˈbændɪdʒ
bandar,ˈbændɑːr
BANDIT,ˈbændɪt
bands,bændz
bangalore,ˌbæŋɡəˈlɔː
bangkok,ˈbæŋkɒk
BANK,bæŋk
bankable,bæŋkəbəl
BANKER,ˈbæŋkə(r)
BANKING,ˈbæŋkɪŋ
BANKNOTE,ˈbæŋkˌnəʊt
BANKRUPT,ˈbæŋkrʌpt
BANKRUPTCY,ˈbæŋkrʌptsi
banks,bæŋks
banned,bænd
banning,ˈbænɪŋ
bans,bænz
bao,baʊ
BAR,bɑː(r)
BARBARIAN,bɑː(r)ˈbeəriən
barcelona,ˌbɑːsɪˈləʊnə
BARE,beə(r)
barely,beəlɪ
BARGAIN,ˈbɑː(r)ɡɪn
baring,ˈbɛərɪŋ
barker,ˈbɑːkə
barometer,bərɒmɪtə(r)
baron,bærən
barrage,bærɑːʒ
barred,ˈbɑrd
BARREL,ˈbærəl
BARRIER,ˈbæriə(r)
BARRING,ˈbɑːrɪŋ
barrington,ˈbærɪŋtən
barry,ˈbærɪ
bars,bɑ:z
BASE,beɪs
BASED,beɪst
basel,ˈbɑːzəl
baseless,beɪsləs
baseline,beɪslaɪn
bases,beɪsɪz
basic,beɪsɪk
basically,beɪsɪkli
BASICS,ˈbeɪsɪks
basin,beɪsən
BASIS,ˈbeɪsɪs
basis point,beɪsɪs
basket,bɑːskɪt
basketball,bɑːskɪtbɔːl
bass,beɪs
bastard,bɑːstə(r)d
BAT,bæt
batch,bætʃ
bath,bɑːθ
bats,bæts
BATTERED,ˈbætə(r)d
BATTERING,ˈbæt(ə)rɪŋ
BATTERY,ˈbæt(ə)ri
BATTLE,ˈbæt(ə)l
BAY,beɪ
bbc,biː
BC,ˌbiː ˈsiː
BE,biː
beach,biːtʃ
beadle,ˈbiːdəl
BEAR,beə(r)
beard,bɪə(r)d
bearish,beərɪʃ
beast,bi:st
BEAT,biːt
BEATING,ˈbiːtɪŋ
beatles,ˈbitəlz
beatrice,ˈbiətrɪs
beautiful,bjuːtɪfʊl
beauty,bjuːti
BECAME,bɪˈkeɪm
because,bɪ'kɒz
becker,ˈbɛkə
BECOME,bɪˈkʌm
BECOMING,bɪˈkʌmɪŋ
BED,bed
bedrock,bedrɒk
BEEF,biːf
BEEN,biːn
BEER,bɪə(r)
BEFIT,bɪˈfɪt
befitting,biˈfɪtɪŋ
before,bɪ'fɔ:
beg,beg
began,bɪ'gæn
BEGAT,bɪˈɡæt
BEGIN,bɪˈɡɪn
BEGINNING,bɪˈɡɪnɪŋ
beginnings,bɪˈɡɪnɪŋ
BEGUN,bɪˈɡʌn
behalf,bɪ'hɑ:f
behave,bɪheɪv
behavior,bɪheɪvyər
behemoth,bɪhiːmɒθ
behind,bɪhaɪnd
beijing,ˈbeɪˈdʒɪŋ
being,bi:ɪŋ
belated,bɪleɪtɪd
BELEAGUERED,bɪˈliːɡə(r)d
belgian,beldʒən
belgrade,bɛlˈɡreɪd
BELIEF,bɪˈliːf
BELIEVE,bɪˈliːv
BELONG,bɪˈlɒŋ
below,bɪloʊ
belt,belt
ben,bɛn
bench,bentʃ
BENCHMARK,ˈbentʃˌmɑː(r)k
BEND,bend
beneath,bɪ'ni:θ
benedict,ˈbɛnɪˌdɪkt
BENEFICIARY,ˌbenɪˈfɪʃəri
BENEFIT,ˈbenɪfɪt
benefits,bɛnɪfɪts
benign,bɪnaɪn
benson,ˈbɛnsən
bentley,ˈbɛntlɪ
benz,bɛnz
berkshire,ˈbɑːkʃɪə
berliner,bɜːˈlɪnə
bernard,ˈbɜːnəd
bernstein,ˈbɜːnstaɪn
bertrand,ˈbɜrtrənd
beside,bɪ'saɪd
besides,bɪsaɪdz
BESPOKE,bɪˈspəʊk
BEST,best
BET,bet
beta,ˈbiːtə
betrothal,bɪtroʊðəl
BETTER,ˈbetə(r)
BETTING,ˈbetɪŋ
between,bɪ'twi:n
BEVERAGE,ˈbev(ə)rɪdʒ
beverly,ˈbɛvərli
beware,bɪweə(r)
beyond,bɪjɒnd
bias,baɪəs
BID,bɪd
BIDDER,ˈbɪdə(r)
BIDDING,ˈbɪdɪŋ
BIG,bɪɡ
big time,ˈbɪɡˌtaɪmˈbɪgˌtaɪm
bigger,ˈbɪɡə
bilateral,baɪlætərəl
BILL,bɪl
-billed,-bɪld
BILLION,ˈbɪljən
BILLIONAIRE,ˌbɪljəˈneə(r)
bim,bɪm
bind,baɪnd
BINDING,ˈbaɪndɪŋ
bing,bɪŋ
binge,bɪndʒ
bio,ˈbaɪəʊ
BIOGRAPHY,baɪˈɒɡrəfi
biology,baɪɒlədʒi
BIOMEDICINE,ˌbaɪəʊˈmeds(ə)n
biometric,baɪoʊmetrɪk
bionics,baɪˈɒnɪks
biotech,baɪoʊtek
biotechnology,baɪoʊteknɒlədʒi
bipartisan,baɪpɑː(r)tɪzæn
birmingham,ˈbɜːmɪŋəm
birthday,bɜː(r)θdeɪ
birthplace,bɜː(r)θpleɪs
bismarck,ˈbɪzmɑːk
BIT,bɪt
biting,@biting
bitter,bɪtə(r)
BLACK,blæk
blackened,ˈblækəndˈblækənd
Blackfriars,@Blackfriars
BLACKLIST,ˈblækˌlɪst
BLACKOUT,ˈblækaʊt
blackstone,ˈblækˌstəʊn
blade,bleɪd
blain,bleɪn
blair,blɛə
BLAME,bleɪm
blamed,bleɪmd
blanch,blɑːntʃ
blank,blæŋk
blasphemy,blæsfəmi
blast,blɑːst
blazing,@blazing
bleary,blɪəri
bleed,bliːd
blemish,blemɪʃ
blend,blend
BLENDER,ˈblendə(r)
BLESSING,ˈblesɪŋ
blew,bluː
blinded,blaɪnded
blinding,blaɪndɪŋ
blindly,blaɪndli
blink,blɪŋk
BLOATED,ˈbləʊtɪd
bloc,blɒk
BLOCK,blɒk
blockade,blɒkeɪd
blocked,blɒkt
blocking,ˈblɒkɪŋ
blog,blɒg
blood,blʌd
bloodsmell,blʌd'smel
bloody,blʌdɪ
blossom,blɒsəm
blow,bloʊ
blowback,ˈbləʊˌbæk
blue,bluː
blueprint,bluːprɪnt
BLUNT,blʌnt
blur,blɜː(r)
blurted,@blurted
blush,blʌʃ
BOARD,bɔː(r)d
BOARDING,ˈbɔː(r)dɪŋ
boards,bɔːdz
BOAST,bəʊst
BOAT,bəʊt
BOATLOAD,ˈbəʊtˌləʊd
bob,bɒb
boca raton,ˌboʊkə
BODEGA,bəʊˈdiːɡə
bodies,bɒdɪz
body,bɒdi
BOIL,bɔɪl
BOLD,bəʊld
BOLE,bəʊl
bolívar,ˈbɒlɪˌvɑː
BOLSTER,ˈbəʊlstə(r)
bolt,boʊlt
bolted,ˈbɒltɪd
bomb,bɒm
bonanza,bənænzə
BOND,bɒnd
BONDHOLDER,ˈbɒndˌhəʊldə(r)
bonds,bɒndz
bone,boʊn
bones,bəʊnz
bonfire,bɒnfaɪə(r)
BONUS,ˈbəʊnəs
boogie,buːgi
BOOK,bʊk
BOOKING,ˈbʊkɪŋ
books,bʊksbʊks
BOOM,buːm
BOOMER,ˈbuːmə(r)
boon,buːn
BOOST,buːst
BOOT,buːt
booth,buːð
boots,buːts
bootstrap,buːtstræpˈbuːtˌstræp
BORDER,ˈbɔː(r)də(r)
borders,ˈbɔːdəzˈbɔrdərz
BORE,bɔː(r)
bored,bɔː(r)d
boris,ˈbɔrɪs
BORN,bɔː(r)n
BORNE,bɔː(r)n
borneo,ˈbɔːnɪˌəʊ
Boromir,@Boromir
BORROW,ˈbɒrəʊ
BORROWER,ˈbɒrəʊə(r)
BORROWING,ˈbɒrəʊɪŋ
borrowings,ˈbɒrəʊɪŋz
bosch,bɒʃ
bosom,bʊzəm
BOSS,bɒs
botch,bɒtʃ
both,bəʊθ
botswana,bʊˈtʃwɑːnə
bottle,bɒtəl
bottler,bɒtələ(r)
BOTTOM,ˈbɒtəm
bottoming,ˈbɒtəmɪŋ
bouffant,buːfɒn
BOUGHT,bɔːt
bounce,baʊns
bound,baʊnd
bounty,baʊnti
bourse,buː(r)s
BOUT,baʊt
boutique,buːtiːk
bow,baʊ
bowen,ˈbəʊən
BOWER,ˈbaʊə(r)
bowing,ˈbəʊɪŋ
bowl,boʊl
bowls,bəʊlz
bowshot,ˈbəʊˌʃɒt
box,bɒks
box office,bɒks
BOXING,ˈbɒksɪŋ
BOY,bɔɪ
boycott,bɔɪkɒt
boyfriend,bɔɪfrend
boys,bɔɪz
brace,breɪs
BRACING,ˈbreɪsɪŋ
BRACKET,ˈbrækɪt
brad,bræd
bradley,ˈbrædlɪ
BRAG,bræɡ
brain,breɪn
BRAKE,breɪk
BRANCH,brɑːntʃ
BRAND,brænd
BRANDED,ˈbrændɪd
BRANDING,ˈbrændɪŋ
brandon,ˈbrændən
branson,ˈbrænsən
brave,breɪv
